speaker_number	speaker_gender	param_calibration_clip	pitch_min	pitch_max	formant_ceiling	num_formant	window_length	feature_1	start_1	end_1	feature_2	start_2	end_2
1	female	common_voice_fi_25976999.mp3	90	225	4600	4	0.04	trill	1.021193	1.256446	vocal fry	2.064069	2.369656
2	female	common_voice_fi_23651907.mp3											
3	female	common_voice_fi_24967342.mp3											
4	female	common_voice_fi_25132840.mp3											
5	female	common_voice_fi_25071352.mp3											
6	female	common_voice_fi_25205941.mp3											
7	female	common_voice_fi_25142829.mp3											
8	female	common_voice_fi_25004506.mp3											
9	female	common_voice_fi_25442328.mp3											
1	male	common_voice_fi_30441901.mp3											
2	male	common_voice_fi_30517503.mp3											
3	male	common_voice_fi_30546681.mp3											
4	male	common_voice_fi_28285850.mp3											
5	male	common_voice_fi_26191587.mp3											
6	male	common_voice_fi_23715955.mp3											
7	male	common_voice_fi_25265782.mp3											
8	male	common_voice_fi_25727640.mp3											
9	male	common_voice_fi_23841392.mp3											
10	male	common_voice_fi_24933601.mp3											
11	male	common_voice_fi_25183051.mp3											
12	male	common_voice_fi_23735879.mp3											
13	male	common_voice_fi_25658161.mp3											
14	male	common_voice_fi_25059080.mp3											
15	male	common_voice_fi_24999494.mp3											
16	male	common_voice_fi_25008777.mp3											
17	male	common_voice_fi_23018290.mp3											
18	male	common_voice_fi_24960385.mp3											
19	male	common_voice_fi_23796450.mp3											
20	male	common_voice_fi_25261445.mp3											
21	male	common_voice_fi_23967562.mp3											
22	male	common_voice_fi_25017990.mp3											
23	male	common_voice_fi_25022227.mp3											
24	male	common_voice_fi_23642715.mp3											
25	male	common_voice_fi_23212632.mp3											
26	male	common_voice_fi_25207584.mp3											
27	male	common_voice_fi_24124574.mp3											
28	male	common_voice_fi_23761998.mp3											
29	male	common_voice_fi_25812313.mp3											
30	male	common_voice_fi_23068344.mp3											
31	male	common_voice_fi_23795924.mp3											
32	male	common_voice_fi_25009228.mp3											
33	male	common_voice_fi_23360913.mp3											
34	male	common_voice_fi_25286439.mp3											
